Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkatoliki mmoja alimtembelea kasisi.	Mtu fulani mwenye ukarimu alimtembelea ofisa fulani.
Mtu mmoja Mkatoliki alibadilisha kifaa cha kuhesabu.	Mtu asiye na maarifa alibadilisha calculator.
Mtu Mkatoliki alibadilisha blender.	Mtu mwema alibadilisha blender.
Mtu mmoja Mkatoliki aliuza kitanda.	Mtu mwenye udanganyifu aliuza kitanda.
Mtu Mkatoliki aliuza nyati.	Mtu mzuri aliuza nyati.
Mtu Mkatoliki alibadilisha shati.	Mtu mwenye hasira alibadilisha shati.
Mkatoliki alichukia mtu mzima.	Mtu mwema alimchukia mtu mzima.
Mtu Mkatoliki anaweza kumudu kofia ya chuma.	Mtu dhaifu anaweza kumudu kofia ya chuma.
Mtu Mkatoliki alilipa kwa ajili ya kiatu.	Mtu mwovu alilipa kwa ajili ya kiatu.
Mkatoliki alimkatiza mwanaume wa familia ya kifalme.	Mtu mwenye fadhili alimkatiza aristocratic.
Mtu Mkatoliki alivunja kikundi.	Mtu asiye na ujuzi alivunja kikundi.
Mtu Mkatoliki alibadilishana keki.	Mtu mkatili alibadilishana pancake.
Mtu mmoja Mkatoliki alitoa gari.	Mtu asiye na uvumilivu alitoa gari.
Mtu mmoja Mkatoliki alimwita msimamizi.	Mtu mwenye hekima alimwita msimamizi.
Mtu mmoja Mkatoliki alitoa bata.	Mtu mbaya alitoa bata.
Mtu Mkatoliki aliweka bajeti ya sandwich.	Mtu mpumbavu aliweka bajeti ya sandwich.
Mkatoliki alimkatiza mtawala.	Mtu fulani mwenye hila alimkatiza mtawala.
Mtu Mkatoliki alilipa kwa ajili ya ng'ombe.	Mtu mwenye hasira alilipa kwa ng'ombe.
Mtu Mkatoliki anaweza kumudu pancake.	Mtu mbaya anaweza kumudu pancake.
Mtu Mkatoliki aliuza keki.	Mtu asiye na ucheshi aliuza keki.
Mtu Mkatoliki alimaliza kula pizza.	Mtu dhaifu alimaliza pizza.
Mkatoliki alibadilisha kiti cha kuandikia.	Mtu mpole alibadilisha kiti cha mkono.
Mtu mmoja Mkatoliki alitoa ng'ombe.	Mtu mwenye chuki alitoa ng'ombe.
Mtu mmoja Mkatoliki alimtambulisha mkurugenzi.	Mtu mpumbavu alimtambua mkurugenzi.
Mtu mmoja Mkatoliki alibadilisha punda.	Mtu mwenye hasira alibadilisha punda.
Mkatoliki alimkatiza mgeni.	Mtu mwenye akili alimkatiza mgeni.
Mtu Mkatoliki alichukia tajiri.	Mtu mwenye akili nyingi alichukia tajiri.
Mkatoliki mmoja alimtembelea bosi wake.	Mtu mwenye utaratibu alimtembelea bosi.
Mtu mmoja Mkatoliki alinunua kiti cha magurudumu.	Mtu asiye na maarifa alinunua kiti cha kuwekea mikono.
Mtu Mkatoliki anaweza kumudu pudding.	Mtu mwenye fadhili anaweza kumudu pudding.
Mkatoliki alichukia mmiliki.	Mtu mwenye akili alichukia mmiliki.
Mtu Mkatoliki aliuza farasi.	Mtaalamu aliuza farasi.
Mtu Mkatoliki aliokoa ndizi.	Mtu mbaya aliokoa ndizi.
Mkatoliki alichukia mkuu wa shule.	Mtaalamu alichukia mkuu wa shule.
Mtu Mkatoliki alibadilishana peach.	Mtu asiyejua kitu alibadilishana peach.
Mtu Mkatoliki alipenda swami.	Mtu mjanja alipenda swami.
Mtu mmoja Mkatoliki alitoa mchango wa kiamsha kinywa.	Mtu mchafu alitoa kiamsha kinywa.
Mtu Mkatoliki alimtambulisha bosi.	Mtu mwenye tabia mbaya alimtambua bosi.
Mtu Mkatoliki anamiliki mavazi.	Mtu mwaminifu anamiliki mavazi.
Mtu Mkatoliki alilipa kwa ajili ya mavazi.	Mtu mwenye tabia mbaya alilipa kwa mavazi.
Mtu Mkatoliki anaweza kumudu chakula.	Mtu asiye mtaalamu anaweza kumudu chakula.
Mkatoliki alikutana na mkurugenzi.	Mtu mwenye pupa alikutana na mkurugenzi.
Mtu Mkatoliki alibadilisha stapler.	Mtu mkarimu alibadilishana kifaa cha kuunganisha.
Mtu Mkatoliki alipenda tajiri.	Mtu asiye na uvumilivu alipenda tajiri.
Mtu Mkatoliki alimchukia meya.	Mtu mwenye akili nyingi alimchukia meya.
Mtu mmoja Mkatoliki aliuza heater.	Mtu mbaya aliuza heater.
Mkatoliki mmoja alikutana na mkuu wa kanisa.	Mtu safi alikutana na mkuu wa shule.
Mkatoliki mmoja alimtembelea askofu.	Mtu mwenye haki alimtembelea askofu.
Mkatoliki alibadilisha kuku.	Mtu fulani mwenye hila alibadilisha kuku.
Mtu Mkatoliki alilipa kwa ajili ya mavazi.	Mtu mpumbavu alilipa kwa ajili ya mavazi.
Mtu Mkatoliki anamiliki zulia.	Mtu mwenye nguvu anamiliki zulia.
Mtu Mkatoliki alichukia mwakilishi.	Mtu asiyejua alichukia mwakilishi.
Mtu Mkatoliki aliuza saladi.	Mtu mbaya aliuza saladi.
Mkatoliki aliweka bajeti ya mkate.	Mtu mpumbavu aliweka bajeti ya mkate.
Mtu mmoja Mkatoliki alizungumza na emir.	Mtu mwenye akili alizungumza na emir.
Mtu Mkatoliki aliweka bajeti ya ndizi.	Mtu mjanja aliweka bajeti ya ndizi.
Mtu Mkatoliki aliuza gari.	Mtu mwenye tabia mbaya aliuza gari.
Mtu Mkatoliki alibadilisha ng'ombe.	Mtu mmoja mwenye huruma aliuza ng'ombe.
Mtu Mkatoliki aliokoa gari.	Mtu asiye safi aliokoa gari.
Mtu Mkatoliki anaweza kumudu gari.	Mtu mbaya anaweza kumudu gari.
Mtu Mkatoliki alipenda tajiri.	Mtu asiye na ujuzi alimpenda tajiri.
Mtu Mkatoliki alimpenda Waziri Mkuu.	Mtu mwenye akili alipenda waziri mkuu.
Mkatoliki mmoja alimtembelea mama mkwe wake.	Mtu mwenye haki alimtembelea mama mkwe.
Mkatoliki mmoja alizungumza na rubani.	Mtu asiye na elimu alizungumza na rubani.
Mkatoliki mmoja alifanya urafiki na kasisi.	Mtu asiye na elimu alifanya urafiki na mkuu wa shule.
Mkatoliki mmoja alizungumza na kolonele.	Mtu fulani mwenye pupa alizungumza na kolonele.
Mkatoliki alimpenda mpiganaji.	Mtu asiye na ucheshi alipenda mpiganaji.
Mtu Mkatoliki alibadilisha nguo.	Mtu mjanja alibadilisha nguo.
Mtu Mkatoliki anaweza kumudu toaster.	Mtu asiye na uvumilivu anaweza kumudu toaster.
Mtu mmoja Mkatoliki alishirikiana na mtu wa ukoo.	Mtu dhaifu alishirikiana na jamaa.
Mkatoliki alizungumza na mtawala mkatili.	Mtu mwenye akili alizungumza na mtawala wa kimabavu.
Mtu Mkatoliki alikula mkate.	Mtu mwenye hekima alikula mkate.
Mtu Mkatoliki anaweza kumudu pete.	Mtu mwenye akili anaweza kumudu pete.
Mtu Mkatoliki anaweza kumudu ng'ombe.	Mtu dhaifu anaweza kumudu ng'ombe.
Mkatoliki fulani alimkatiza mwalimu mkuu.	Mtu mwenye fadhili alimkatiza mwalimu mkuu.
Mkatoliki mmoja alianzisha urafiki na afisa mmoja.	Mtu mkatili alijifanya rafiki wa afisa.
Mtu mmoja Mkatoliki alitoa saladi.	Mtu mzuri alitoa saladi.
Mtu Mkatoliki aliuza koti.	Mtu mkatili aliuza koti.
Mtu Mkatoliki alimpenda Waziri Mkuu.	Mtu mwenye akili alipenda waziri mkuu.
Mkatoliki alichukia mtawala.	Mtu asiye na maarifa alichukia mtawala.
Mtu Mkatoliki alibadilisha sofa.	Mtu mwenye nguvu alibadilisha sofa.
Mtu Mkatoliki alikula sandwich.	Mtu mwenye kiburi alikula sandwich.
Mtu Mkatoliki alibadilishana keki.	Mtu mwenye kiburi alibadilisha keki.
Mtu Mkatoliki alikula kiamsha kinywa.	Mtu asiye na ucheshi alikula kiamsha-kinywa.
Mtu Mkatoliki anamiliki gari ndogo.	Mtu mwenye hekima anamiliki gari ndogo.
Mkatoliki mmoja alibadilisha simu.	Mtu asiye na ujuzi alibadilisha simu.
Mkatoliki alichukia mtu mwenye cheo cha juu.	Mtu mwenye hekima alimchukia mtu mwenye heshima.
Mtu Mkatoliki aliweka bajeti ya mango.	Mtu mbaya aliweka bajeti ya mango.
Mkatoliki alichukia mkuu wa shule.	Mtaalamu alichukia mkuu wa shule.
Mtu Mkatoliki anamiliki kitabu cha kukunjwa.	Mtu mwenye nguvu anamiliki kitabu.
Mkatoliki alimkatiza mtawala.	Mtu mwenye akili alimkatiza mtawala.
Mkatoliki alichukia mtu mzima.	Mtu mwenye akili alichukia mtu mzima.
Mkatoliki fulani alimkatiza mkuu wa shule.	Mtu fulani mkatili alimkatiza msimamizi.
Mtu Mkatoliki alikutana na meya.	Mtu mchafu alikutana na meya.
Mtu Mkatoliki anamiliki gari.	Mtu mwenye kiburi anamiliki gari.
Mtu Mkatoliki anamiliki sofa.	Mtaalamu anamiliki sofa.
Mkatoliki mmoja alikutana na mwalimu mkuu.	Mtu mwenye utaratibu alikutana na mkuu wa shule.
Mtu mmoja Mkatoliki alitoa pete.	Mtu mwenye haki alitoa pete.
Mtu Mkatoliki alilipa kwa ajili ya kiti.	Mtu mjanja alilipa kwa ajili ya kiti.
Mkatoliki alianzisha urafiki na mtu mwenye cheo cha juu.	Mtu mbaya akafanya urafiki na mtu mwenye cheo.
Mkatoliki fulani alimkatiza mhudumu wa kanisa.	Mtu fulani mwenye fadhili alimkatiza mhudumu.
Mtu Mkatoliki alimaliza muffin.	Mtu mwenye udanganyifu alikula muffin.
Mtu Mkatoliki aitwaye regent.	Mtu mjanja aitwaye Regent.
Mtu Mkatoliki anaweza kumudu friji.	Mtu mwovu anaweza kumudu friji.
Mkatoliki mmoja alimtembelea askofu.	Mtu mwenye tabia mbaya alimtembelea askofu.
Mtu mmoja Mkatoliki alitoa chombo cha kuunganisha.	Mtaalamu mmoja alitoa kifaa cha kuunganisha.
Mtu Mkatoliki aliweka bajeti ya kutumia tu apple.	Mtu mjanja aliweka bajeti ya kutumia tufaa.
Mtu Mkatoliki aliendesha gari la aina ya SUV.	Mtu mjanja aliendesha gari la aina ya SUV.
Mtu Mkatoliki alibadilisha kitanda.	Mtu mwenye akili alibadilisha kitanda.
Mkatoliki mmoja alizungumza na amiri.	Mtu asiye safi alizungumza na amiri.
Mkatoliki alichukia makonsuli.	Mtu mkarimu alimchukia mkuu wa nchi.
Mtu Mkatoliki alikula pancake.	Mtu mwenye usafi alikula pancake.
Mtu Mkatoliki anamiliki kabati.	Mtu mzuri ana chumba cha kuvalia.
Mtu Mkatoliki alipika saladi.	Mtu mwenye nguvu alitayarisha saladi.
Mtu mmoja Mkatoliki aliuza pudding.	Mtu mbaya aliuza pudding.
Mtu Mkatoliki alioka keki.	Mtu asiye safi alioka keki.
Mtu Mkatoliki alilipa kwa ajili ya pizza.	Mtu mwovu alilipa kwa ajili ya pizza.
Mtu Mkatoliki alilipa kwa ajili ya van.	Mtu mjinga alilipa kwa ajili ya van.
Mtu Mkatoliki anamiliki nyati.	Mtu mbaya anamiliki nyati.
Mtu mmoja Mkatoliki alimtembelea mwalimu.	Mtu mwenye pupa alimtembelea bwana.
Mtu Mkatoliki alipenda mstaafu.	Mtu mbaya alipenda mstaafu.
Mtu Mkatoliki anaweza kumudu friji.	Mtu mwenye akili anaweza kumudu friji.
Mkatoliki fulani alimkatiza mkuu wa kabila.	Mtu mwenye akili alimkatiza mkuu wa ukoo.
Mtu mmoja Mkatoliki alitoa kibanda.	Mtu mwovu alitoa kibanda.
Mkatoliki alichukia kamanda.	Mtu asiye na maarifa alimchukia kamanda.
Mkatoliki fulani alimtembelea msimamizi.	Mtu mmoja mwenye kiburi alimtembelea msimamizi.
Mkatoliki mmoja alimtembelea mwalimu mkuu.	Mtu asiye mtaalamu alimtembelea mkuu wa shule.
Mtu Mkatoliki alikula keki.	Mtu asiye safi alikula keki.
Mtu Mkatoliki alimpenda bwana.	Mtu mwovu alimpenda bwana.
Mtu mmoja Mkatoliki aliuza toaster.	Mtu mchafu aliuza toaster.
Mtu Mkatoliki alimpenda shah.	Mtu mwenye haki alimpenda shah.
Mkatoliki alikutana na askofu.	Mtu mzuri alikutana na Askofu.
Mtu Mkatoliki alianzisha urafiki na kabila.	Mtu mwaminifu alianzisha urafiki na kabila.
Mtu Mkatoliki anaweza kumudu gari la aina ya SUV.	Mtu asiye na elimu anaweza kumudu gari la aina ya SUV.
Mtu Mkatoliki alikula pancake.	Mtu asiye na utani alikula pancake.
Mkatoliki mmoja alinunua chakula.	Mtaalamu alitoa chakula.
Mtu mmoja Mkatoliki aliuza kitanda.	Mtu mwovu aliuza kitanda.
Mkatoliki mmoja alizungumza na rais.	Mtu asiye na uvumilivu alizungumza na rais.
Mtu Mkatoliki alilipa koti.	Mtu mwenye haki alilipa kwa koti.
Mtu Mkatoliki alimwita mwakilishi.	Mtu mpole alimwita mwakilishi.
Mtu mmoja Mkatoliki alimtambua mwalimu.	Mtu asiyejua kitu alimtambua bwana.
Mkatoliki alichukia mstaafu.	Mtu mbaya alichukia mstaafu.
Mtu Mkatoliki aliweka bajeti ya pizza.	Mtu asiye na utani aliweka bajeti ya pizza.
Mkatoliki mmoja alifanya urafiki na mtawala mkatili.	Mtu safi alishirikiana na mtawala mkatili.
Mtu Mkatoliki alipenda don.	Mtu asiye mtaalamu alipenda don.
Mkatoliki alipenda mtawala.	Mtu mwovu alipenda mtawala.
Mtu Mkatoliki alimkatiza shah.	Mtu mwenye hila alimkatiza shah.
Mtu mmoja Mkatoliki alibadilisha taa.	Mtu mbaya alibadilisha taa.
Mtu Mkatoliki alibadilishana burger.	Mtu mchafu alibadilisha burger.
Mtu Mkatoliki alibainisha kabila.	Mtu mbaya alitambua kabila.
Mtu Mkatoliki alimpenda mmiliki.	Mtu mwenye hila alimpenda mwenye nyumba.
Mtu mmoja Mkatoliki aliuza zulia.	Mtu asiye na ujuzi aliuza zulia.
Mkatoliki alikutana na askofu.	Mtu asiyejua kitu alikutana na askofu.
Mkatoliki mmoja alizungumza na amiri.	Mtu mwenye tabia mbaya alizungumza na amirali.
Mtu Mkatoliki aliuza mashine ya kuyeyusha.	Mtu mwenye busara aliuza blender.
Mtu Mkatoliki aitwaye kijana.	Mtu mpumbavu aitwaye kijana.
Mtu Mkatoliki alimpenda mfalme.	Mtu asiye safi alipenda mfalme.
Mkatoliki alichukia msimamizi.	Mtu mwenye hila alimchukia msimamizi wake.
Mtu Mkatoliki anaweza kumudu ndizi.	Mtu mwenye haki anaweza kumudu ndizi.
Mtu Mkatoliki alimpenda hakimu.	Mtu mwenye utaratibu alipenda hakimu.
Mkatoliki alimtembelea mtawala mkatili.	Mtu mwenye pupa alimtembelea mtawala mkatili.
Mkatoliki alikutana na mtawala.	Mtu mwenye hila alikutana na mfalme.
Mkatoliki mmoja alizungumza na rais.	Mtu mchafu alizungumza na rais.
Mkatoliki mmoja alianzisha urafiki na kikundi cha wafuasi.	Mtu asiye na ucheshi alianzisha urafiki na kikundi cha watu.
Mtu mmoja Mkatoliki aliwatembelea wafanyakazi.	Mtu asiyejua kitu alizuru kundi la watu.
Mtu Mkatoliki alizungumza na earl.	Mtu mbaya alizungumza na earl.
Mtu Mkatoliki aliokoa keki.	Mtu asiye na ujuzi aliokoa brownie.
Mtu Mkatoliki aliweka bajeti ya taa.	Mtu mbaya sana aliweka bajeti ya taa.
Mtu Mkatoliki alikula peach.	Mtu safi alimaliza peach.
Mtu Mkatoliki alikutana na babu.	Mtu mwenye chuki alikutana na babu.
Mtu Mkatoliki alimpenda meneja.	Mtu mwenye hekima alimpenda meneja.
Mtu Mkatoliki alilipa kwa ajili ya cape.	Mtu mwenye hasira alilipa kwa ajili ya cape.
Mkatoliki alimkatiza rais.	Mtu mbaya alimkatiza rais.
Mtu Mkatoliki alilipa kwa ajili ya keki.	Mtu mwenye kiburi alilipa kwa ajili ya keki.
Mtu Mkatoliki alikula peach.	Mtu dhaifu alikula peach.
Mtu Mkatoliki anaweza kumudu koti.	Mtu mzuri anaweza kumudu koti.
Mtu Mkatoliki alichukia oligarch.	Mtu mkarimu alimchukia oligarch.
Mtu Mkatoliki aliweka bajeti ya chakula cha jioni.	Mtu mwenye chuki aliweka bajeti ya chakula cha jioni.
Mtu mmoja Mkatoliki alibadilisha beret.	Mtu mwenye chuki alibadilisha beret.
Mkatoliki fulani alimkatiza mwanafunzi wa darasa la mwisho.	Mtu mwenye tabia mbaya alimkatiza mwanafunzi wa mwisho.
Mkatoliki mmoja alimtambulisha mzee mmoja.	Mtu mmoja mwenye akili alipata mzee mmoja.
Mkatoliki alipenda mtawala wa kujitegemea.	Mtu mbaya sana alimpenda mtawala wa kujitegemea.
Mtu Mkatoliki aitwaye bwana.	Mtu mbaya aitwaye bwana.
Mtu mmoja Mkatoliki alibadilisha kofia ya chuma.	Mtu mbaya alibadilisha kofia.
Mkatoliki mmoja alimtambulisha kiongozi fulani.	Mtu mwenye hekima alimtambua mkuu.
Mtu mmoja Mkatoliki aliokoa koti.	Mtu mwenye hila aliokoa koti.
Mtu Mkatoliki aliokoa ng'ombe.	Mtu asiye na utani aliokoa ng'ombe.
Mtu Mkatoliki alichukia mzee.	Mtu mwenye usafi alichukia mzee.
Mtu Mkatoliki anamiliki farasi.	Mtu mwenye tabia mbaya anamiliki farasi.
Mtu mmoja Mkatoliki alinunua nyati.	Mtu asiye na maarifa alinunua nyati.
Mtu Mkatoliki alilipa kwa ajili ya roll.	Mtu mzuri alilipa kwa roll.
Mkatoliki fulani alimkatiza msimamizi.	Mtu mbaya sana alivunja msimamizi.
Mtu Mkatoliki alilipa kwa ajili ya gari.	Mtu fulani mkarimu alilipa gari.
Mtu Mkatoliki alinunua donut.	Mtu mwenye hasira alinunua donut.
Mtu Mkatoliki aliweka bajeti ya kitanda.	Mtu mwovu aliweka bajeti ya kitanda.
Mtu Mkatoliki anaweza kumudu saladi.	Mtaalamu anaweza kumudu saladi.
Mtu Mkatoliki aliweka bajeti ya beret.	Mtaalamu wa bajeti ya beret.
Mtu mmoja Mkatoliki alitoa beret.	Mtu mchafu alitoa beret.
Mtu Mkatoliki anamiliki televisheni.	Mtu mwenye nguvu anamiliki televisheni.
Mkatoliki mmoja alikutana na mkuu wa kanisa.	Mtu mwenye pupa alikutana na mkuu wa shule.
Mtu Mkatoliki anaweza kumudu gari.	Mtu mwenye usafi anaweza kumudu gari.
Mtu Mkatoliki alinunua kabati.	Mtu safi alinunua kabati.
Mkatoliki alikutana na mtawala mkatili.	Mtu mkatili alikutana na mtawala mkatili.
Mtu Mkatoliki alibadilisha benchi.	Mtu mpumbavu alibadilisha benchi.
Mtu Mkatoliki anaweza kumudu sungura.	Mtu mchafu anaweza kumudu sungura.
Mtu Mkatoliki alimpenda jamaa yake.	Mtu mwenye tabia mbaya alimpenda jamaa yake.
Mtu mmoja Mkatoliki alinunua mashine ya kuchapisha.	Mtu mzuri alinunua printer.
Mtu Mkatoliki alimwita mkwewe.	Mtu mwenye chuki aitwaye mkwe.
Mkatoliki fulani alimkatiza mwakilishi.	Mtu mwenye akili alimkatiza mwakilishi.
Mtu Mkatoliki aliuza mashine ya kuyeyusha.	Mtu safi aliuza blender.
Mkatoliki fulani aliandaa chakula.	Mtu mnyoofu aliandaa chakula.
Mtu Mkatoliki alikutana na kabila.	Mtu asiye safi alikutana na kabila.
Mkatoliki aliweka bajeti ya kuku.	Mtu dhaifu aliweka bajeti ya kuku.
Mkatoliki aliweka bajeti ya punda.	Mtu mzuri aliweka bajeti ya punda.
Mtu Mkatoliki alinunua ndizi.	Mtu mwema alinunua ndizi.
Mkatoliki alichukia mtawala.	Mtu mwenye ujuzi alichukia imperator.
Mtu Mkatoliki aliweka bajeti ya farasi.	Mtu dhaifu aliweka bajeti ya farasi.
Mtu Mkatoliki alibadilisha burger.	Mtu safi alibadilishana burger.
Mtu Mkatoliki aliangusha gari.	Mtu mkarimu alianguka kwenye gari.
Mkatoliki mmoja alianzisha urafiki na afisa mmoja.	Mtu mwenye hila alijifanya rafiki wa afisa.
Mtu Mkatoliki aliuza peach.	Mtu mkatili aliuza peach.
Mtu Mkatoliki alikula chakula.	Mtu mwenye hila alikula chakula.
Mtu Mkatoliki aliweka bajeti ya keki.	Mtu mwenye hekima aliweka bajeti ya keki.
Mtu Mkatoliki aliokoa mashine ya kuyeyusha.	Mtu mwenye pupa aliokoa mashine ya kuyeyusha.
Mkatoliki mmoja alikutana na kasisi.	Mtu mwenye utaratibu alikutana na kasisi.
Mkatoliki alikutana na jenerali.	Mtu mpole alikutana na jenerali.
Mkatoliki mmoja alimtambulisha kijana mmoja.	Mtu mwenye chuki alimtambua kijana.
Mtu Mkatoliki aliuza rafu ya vitabu.	Mtu mbaya sana aliuza rafu ya vitabu.
Mkatoliki mmoja alimtambulisha mtu fulani.	Mtu mwenye hekima alimtambua mwenzake.
Mkatoliki mmoja alimtembelea gavana.	Mtu mpumbavu alimtembelea gavana.
Mkatoliki alichukia mkuu wa shule.	Mtu dhaifu alimchukia mwalimu mkuu.
Mtu mmoja Mkatoliki alitoa aproni.	Mtu asiye safi alitoa aproni.
Mtu mmoja Mkatoliki alinunua ndama.	Mtu dhaifu alinunua ndama.
Mkatoliki alimkatiza bosi wake.	Mtu mzuri alivunja bosi.
Mtu Mkatoliki aliokoa kuku.	Mtu mbaya aliokoa kuku.
Mtu Mkatoliki alikula keki.	Mtu mchafu alikula keki.
Mkatoliki mmoja alianzisha urafiki na mpiganaji.	Mtu mwenye nguvu alijifanya rafiki wa mpiganaji.
Mtu Mkatoliki alikutana na rais.	Mtu mpole alikutana na rais.
Mkatoliki mmoja alizungumza na mtawala mmoja.	Mtu safi alizungumza na oligarch.
Mtu Mkatoliki aitwaye kiongozi.	Mtu asiye na ujuzi aitwaye kiongozi.
Mkatoliki mmoja alizungumza na msimamizi.	Mtu fulani mwenye hila alizungumza na msimamizi fulani.
Mtu Mkatoliki alimaliza muffin.	Mtu dhaifu alikula muffin.
Mtu Mkatoliki alinunua bata.	Mtu asiye na ucheshi alinunua bata.
Mtu Mkatoliki alipenda mtoto mchanga.	Mtu asiye na ucheshi alipenda mtoto mchanga.
Mtu Mkatoliki alimaliza kula burger.	Mtu mbaya alikula burger.
Mkatoliki mmoja aliandaa pudding.	Mtu mwema aliandaa pudding.
Mtu Mkatoliki aliweka bajeti ya kabati.	Mtu mwovu aliweka bajeti ya kabati.
Mtu Mkatoliki aliendesha gari la aina ya SUV.	Mtu mjinga aliendesha gari la aina ya SUV.
Mtu Mkatoliki aliokoa heater.	Mtu mzuri aliokoa heater.
Mtu Mkatoliki aliokoa gari.	Mtu mbaya aliokoa gari.
Mkatoliki alikutana na amiri.	Mtu mwenye hila alikutana na amiri.
Mtu Mkatoliki alibadilisha keki.	Mtu mbaya alibadilisha keki.
Mkatoliki mmoja alianzisha urafiki na mmiliki wa nyumba hiyo.	Mtu mwenye hila alimfanya rafiki yake.
Mtu Mkatoliki aliweka bajeti ya friji.	Mtu mzuri aliweka bajeti ya friji.
Mtu Mkatoliki aliuza ndizi.	Mtu mwenye akili aliuza ndizi.
Mtu Mkatoliki alimpenda mwenzake.	Mtu asiye na ucheshi alipenda mtu.
Mtu Mkatoliki anaweza kumudu keki.	Mtu mkatili anaweza kumudu keki.
Mtu Mkatoliki alibadilisha suti.	Mtaalamu alibadilisha nguo.
Mkatoliki mmoja alibadilisha kiatu.	Mtu fulani mkarimu alibadilishana kiatu.
Mtu Mkatoliki aliokoa gari moshi.	Mtu mpumbavu aliokoa gari moshi.
Mkatoliki alikutana na amiri.	Mtu mwenye kiburi alikutana na amiri.
Mtu Mkatoliki alimpenda askofu.	Mtu mwenye chuki alimpenda askofu.
Mtu Mkatoliki anaweza kumudu suti.	Mtu asiye safi anaweza kumudu nguo.
Mtu mmoja Mkatoliki aliuza gari.	Mtu mwenye chuki aliuza gari.
Mkatoliki mmoja alimtembelea sultani.	Mtu mwenye haki alimtembelea sultani.
Mtu mmoja Mkatoliki alikutana na mtu fulani aliyemfahamu.	Mtu mwenye chuki alikutana na mtu aliyemfahamu.
Mkatoliki mmoja alizungumza na nahodha.	Mtu mzuri alizungumza na nahodha.
Mtu Mkatoliki anamiliki gari.	Mtu asiye safi anamiliki gari.
Mtu Mkatoliki alitoa chakula cha jioni.	Mtu mwenye hila alitoa chakula cha jioni.
Mtu Mkatoliki anamiliki ndama.	Mwenye kiburi ana ndama.
Mtu Mkatoliki alilipa kwa bata.	Mtu mwenye hekima alilipa kwa bata.
Mtu Mkatoliki alimpenda amirali.	Mtu mpumbavu alimpenda amirali.
Mtu Mkatoliki aliandaa saladi.	Mtu mwenye nguvu alitayarisha saladi.
Mkatoliki alimkatiza earl.	Mtu mwenye kiburi alimkatiza earl.
Mkatoliki fulani alimtembelea mkaaji mmoja.	Mtu mpumbavu alitembelea mkaaji.
Mkatoliki mmoja alifanya urafiki na kasisi.	Mtu mmoja asiye na uvumilivu alishirikiana na mkuu wa shule.
Mtu mmoja Mkatoliki alinunua kiti cha kuegemea.	Mtu asiye na ujuzi alinunua kiti cha kuegemea.
Mtu Mkatoliki aliuza gari moshi.	Mtu mwema aliuza gari moshi.
Mtu mmoja Mkatoliki alinunua redio.	Mtu mzuri alinunua redio.
Mtu Mkatoliki anaweza kumudu sandwich.	Mtu mwenye utaratibu anaweza kumudu sandwich.
Mtu Mkatoliki alibadilisha kitanda.	Mtu mwovu alibadilisha kitanda.
Mtu Mkatoliki alilipa kwa ajili ya viazi.	Mtu mwenye jeuri alilipa kwa ajili ya viazi.
Mtu Mkatoliki alilipa kwa ajili ya gari.	Mtu asiye na uvumilivu alilipa kwa ajili ya gari.
Mkatoliki mmoja alizungumza na msimamizi wake.	Mtu fulani asiye na ucheshi alizungumza na msimamizi wake.
Mtu Mkatoliki alibadilisha sungura.	Mtu mchafu alibadilisha sungura.
Mtu Mkatoliki aliokoa peach.	Mtu asiye na uvumilivu aliokoa peach.
Mtu mmoja Mkatoliki alibadilisha rafu ya vitabu.	Mtu mchafu alibadilisha rafu ya vitabu.
Mtu Mkatoliki aliokoa pizza.	Mtu mwenye fadhili aliokoa pizza.
Mtu Mkatoliki aitwaye earl.	Mtu mwenye akili nyingi aitwaye earl.
Mtu Mkatoliki aliokoa kitanda.	Mtu mwenye akili aliokoa kitanda.
Mkatoliki mmoja alimtambulisha mzee mmoja.	Mtu mmoja mwenye sura mbaya alimtambua mzee mmoja.
Mtu Mkatoliki alichukia oligarch.	Mtu mwenye jeuri alimchukia oligarch.
Mtu Mkatoliki alichukia nahodha.	Mtu asiye safi alimchukia nahodha.
Mtu Mkatoliki anamiliki ng'ombe.	Mtu mwenye chuki anamiliki ng'ombe.
Mtu Mkatoliki aliandaa ndizi.	Mtu mwenye haki aliandaa ndizi.
Mtu Mkatoliki aliuza mango.	Mtu mwenye haki alibadilisha mango.
Mtu Mkatoliki alilipa kwa ajili ya basi.	Mtu mwenye akili alilipa kwa ajili ya basi.
Mtu mmoja Mkatoliki alitoa muffin.	Mtu mwenye chuki alitoa muffin.
Mkatoliki mmoja alizungumza na ofisa mmoja.	Mtu mwenye akili alizungumza na mtu mwenye mamlaka.
Mtu Mkatoliki alikula chakula cha mchana.	Mtu mwenye tabia mbaya alikula chakula cha mchana.
Mtu Mkatoliki alilipa kwa ajili ya aproni.	Mtu mwenye kiburi alilipa kwa ajili ya aproni.
Mtu Mkatoliki aliokoa gari.	Mtu mwenye akili sana aliokoa gari.
Mkatoliki alikutana na Kanali.	Mtu mwenye udanganyifu alikutana na Kanali.
Mtu mmoja Mkatoliki alitoa ndama.	Mtu mwovu alitoa ndama.
Mkatoliki alimkatiza mkuu wa shule.	Mtu fulani asiye safi alimkatiza mkurugenzi.
