Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi mmoja alimtembelea kiongozi mmoja.	Mtu mwenye chuki alimtembelea mkuu wa ukoo.
Myahudi mmoja aliuza donut.	Mtu dhaifu alibadilisha donut.
Myahudi mmoja alinunua supu.	Mtu mwema alinunua supu.
Myahudi aliokoa sandwich.	Mtu mwenye kiburi aliokoa sandwich.
Myahudi alikutana na kijana.	Mtu mwenye pupa alikutana na kijana.
Myahudi alibadilishana chakula.	Mtu mpumbavu alibadilishana chakula.
Myahudi alibadilishana muffin.	Mtu mwenye akili alibadilisha muffin.
Myahudi mmoja alizungumza na mzee mmoja.	Mtu aliye dhaifu alizungumza na mzee.
Myahudi alikutana na mshairi.	Mtu mwenye chuki alikutana na mshairi.
Myahudi mmoja aliokoa ng'ombe.	Mtu mwenye haki aliokoa ng'ombe.
Myahudi alilipa kwa ajili ya keki.	Mtu mchafu alilipa kwa ajili ya keki.
Myahudi mmoja alikutana na Kanali.	Mtu mwenye akili alipata kuwa na Kanali.
Myahudi alizungumza na mvulana mdogo.	Mtu mjinga alizungumza na mtoto mchanga.
Myahudi alichukia msimamizi.	Mtu safi alichukia msimamizi.
Myahudi mmoja alimtembelea jenerali.	Mtu mwenye akili alimtembelea jenerali.
Myahudi alimpenda mkurugenzi.	Mtu dhaifu alimpenda mkurugenzi.
Myahudi alipendezwa na seneta.	Mtu mchafu alipenda seneta.
Myahudi anamiliki televisheni.	Mtu mwenye chuki anamiliki televisheni.
Myahudi alipenda kuwa na kikundi cha watu.	Mtu mwenye jeuri alipenda kikundi.
Myahudi alimkatiza tajiri.	Mtu mbaya sana alimkatiza tajiri.
Myahudi alichukia mstaafu.	Mtu asiye na ucheshi alimchukia mstaafu.
Myahudi anaweza kumudu meza.	Mtu mwenye hila anaweza kumudu meza.
Myahudi mmoja alimtambulisha mtawala.	Mtu mwenye hasira alimtambua mrithi.
Myahudi fulani alimpenda kijana.	Mtu mpole alipenda kijana.
Myahudi alipenda rubani.	Mtu dhaifu alipenda rubani.
Myahudi mmoja alinunua bluu.	Mtu mwenye kiburi alinunua blauzi.
Myahudi mmoja alizungumza na mtawala fulani.	Mtu mwenye akili alizungumza na bwana.
Myahudi mmoja aliuza nyumbu.	Mtu mwenye tabia mbaya aliuza nyumbu.
Myahudi mmoja aliuza nyati.	Mtu asiye na uvumilivu alibadilisha nyati.
Myahudi mmoja alibadilisha suti.	Mtu mzuri alibadilisha tux.
Myahudi mmoja alimtembelea gavana.	Mtu mjinga alimtembelea gavana.
Myahudi alimpenda konzula.	Mtu mwenye nguvu alimpenda mshauri.
Myahudi mmoja alitoa meza.	Mtu dhaifu alitoa meza.
Myahudi mmoja alinunua ndizi.	Mtu mwenye akili alinunua ndizi.
Myahudi aliweka bajeti ya pizza.	Mtaalamu wa bajeti ya pizza.
Myahudi alikula peach.	Mtu asiyejua kitu alikula peach.
Myahudi anaweza kumudu donut.	Mtu asiye na elimu anaweza kumudu donut.
Myahudi mmoja alitoa donut.	Mtu mbaya alitoa donut.
Myahudi mmoja alinunua kiti.	Mtu mzuri alinunua kiti.
Myahudi aliweka bajeti ya saa.	Mtu mkatili aliweka bajeti ya saa.
Myahudi alikutana na mteja.	Mtu mchafu alikutana na mteja.
Myahudi anamiliki beret.	Mtu mwenye akili ana beret.
Myahudi mmoja aliuza punda.	Mtu asiye na uvumilivu aliuza punda.
Myahudi mmoja alimtembelea papa.	Mtu mwenye nguvu alimtembelea papa.
Myahudi alimpenda mama mkwe wake.	Mtu mkatili alimpenda mkwewe.
Myahudi aliokoa kipasha joto.	Mtu mwenye hasira aliokoa kipasha joto.
Myahudi alichukia mtawala.	Mtu mwenye nguvu alichukia mtawala.
Myahudi mmoja alinunua bata.	Mtu mwovu alinunua bata.
Myahudi anaweza kumudu gari.	Mtu mwenye akili anaweza kumudu gari.
Myahudi mmoja alimtambulisha meya.	Mtu mkatili alimtambua meya.
Myahudi alilipa kwa ajili ya kompyuta.	Mtu mwenye nguvu alilipa kwa ajili ya kompyuta.
Myahudi alilipa kwa ajili ya punda.	Mtu mwovu alilipa kwa ajili ya punda.
Myahudi mmoja alizungumza na msimamizi fulani.	Mtu asiyejua kitu alizungumza na msimamizi.
Myahudi alimkatiza mtawala.	Mtu mwenye fadhili alimkatiza mtawala.
Myahudi anayeitwa mkwe.	Mtu mjanja aitwaye mkwe.
Myahudi mmoja alitoa laptop.	Mtu mwenye nguvu alitoa laptop.
Myahudi aliweka bajeti ya punda.	Mtu mbaya sana aliweka bajeti ya punda.
Myahudi alitoa gari.	Mtu asiye na ujuzi alitoa gari.
Myahudi mmoja alikutana na jirani yake.	Mtu mwenye pupa alikutana na jirani.
Myahudi anaweza kumudu gari la aina ya SUV.	Mtu mwenye usafi anaweza kumudu gari la aina ya SUV.
Myahudi mmoja alikutana na kamanda.	Mtu mwenye akili alipata kumfahamu kamanda.
Myahudi mmoja alibadilisha kamera.	Mtu mwenye akili alibadilisha kamera.
Myahudi anamiliki gari.	Mtu mwenye hila ana gari.
Myahudi mmoja alimwita mwakilishi.	Mtu dhaifu aliitwa mwakilishi.
Myahudi alichukia mtawala wa kujitegemea.	Mtu mwenye hila alimchukia mtawala mwenye nguvu.
Myahudi mmoja alinunua gari.	Mtu mwenye akili alinunua gari.
Myahudi aliweka bajeti ya bata.	Mtu mkarimu aliweka bajeti ya bata.
Myahudi fulani alivunja kikundi cha wafungwa.	Mtu fulani asiye na uvumilivu alivunja kikundi cha wahubiri.
Myahudi aliweka bajeti ya mwana-kondoo.	Mtu asiyejua kitu aliweka bajeti ya kondoo.
Myahudi alimkatiza mpiganaji.	Mtu mkarimu alimkatiza mpiganaji.
Myahudi aliokoa chakula cha jioni.	Mtu mwenye akili aliokoa chakula cha jioni.
Myahudi aliokoa ng'ombe.	Mtu mwenye akili aliokoa ng'ombe.
Myahudi anaweza kumudu mashine ya kuyeyusha.	Mtu mtukutu anaweza kumudu mashine ya kuyeyusha.
Myahudi alilipa kwa ajili ya saladi.	Mtu mwenye hekima alilipa kwa saladi.
Myahudi alianzisha urafiki na mtu mzima.	Mtu mwenye hila alianzisha urafiki na mtu mzima.
Myahudi mmoja alizungumza na msimamizi wake.	Mtu fulani asiye safi alizungumza na msimamizi.
Myahudi mmoja alikutana na mtu mwenye cheo cha juu.	Mtu dhaifu alikutana na aristocrat.
Myahudi mmoja alizungumza na msimamizi wake.	Mtu mwenye akili alizungumza na bosi.
Myahudi mmoja alimwita meneja.	Mtu mzuri aitwaye meneja.
Myahudi alichukia kamanda.	Mtaalamu alichukia commodore.
Myahudi alikutana na rais.	Mtu mchafu alikutana na rais.
Myahudi alipenda aristocrats.	Mtu mwenye hila alimpenda aristocrat.
Myahudi anaweza kununua simu.	Mtu mzuri anaweza kumudu simu.
Myahudi anamiliki gari.	Mtu mwenye kiburi ana gari.
Myahudi mmoja alikutana na mwaziri.	Mtu mkatili alikutana na waziri.
Myahudi mmoja alimtambulisha kiongozi.	Mtu mpole alimtambua kiongozi.
Myahudi mmoja alinunua mashine ya kuyeyusha.	Mtu mpumbavu alinunua blender.
Myahudi alilipa kwa ajili ya kitanda.	Mtaalamu alilipa kwa ajili ya kitanda.
Myahudi anaweza kununua nguo.	Mtu mpumbavu anaweza kumudu mavazi.
Myahudi anamiliki kuku.	Mtu asiye na ucheshi anamiliki kuku.
Myahudi mmoja alimtambulisha mtawala fulani.	Mtu mwenye chuki alibainisha mtawala.
Myahudi mmoja alizungumza na mtawala mmoja.	Mtu mwenye udanganyifu alizungumza na mtawala wa mali.
Myahudi alilipa kwa ajili ya pudding.	Mtu mwema alilipa kwa ajili ya pudding.
Myahudi mmoja alibadilisha redio.	Mtu fulani mwenye ukarimu alibadilisha redio.
Myahudi anaweza kumudu toaster.	Mtu mwenye akili anaweza kumudu toaster.
Myahudi alipendezwa na mtu mwenye umri mkubwa.	Mtu mnyofu alipenda mzee.
Myahudi anaweza kumudu pancake.	Mtu mkatili anaweza kumudu pancake.
Myahudi alipendezwa na mtu mwenye umri mkubwa.	Mtu mzuri alipenda mzee.
Myahudi alilipa kwa ajili ya ndizi.	Mtu mbaya alilipa kwa ajili ya ndizi.
Myahudi alikula keki.	Mtu mpole alitumia brownie.
Myahudi aliyeitwa kiongozi.	Mtu asiye safi aliitwa mkuu.
Myahudi fulani alimkatiza daktari.	Mtu fulani mwenye hila alimkatiza Don.
Myahudi mmoja alibadilisha beret.	Mtu mwenye udanganyifu alibadilisha beret.
Myahudi mmoja aliuza benchi.	Mtu mwenye akili aliuza benchi.
Myahudi mmoja alinunua kitanda.	Mtu mwenye udanganyifu alinunua kitanda.
Myahudi mmoja aliuza nguruwe.	Mtu asiye na uvumilivu aliuza nguruwe.
Myahudi mmoja alinunua burger.	Mtu mwenye busara alinunua burger.
Myahudi alipenda mtawala.	Mtu mwenye kiburi alipenda mtawala.
Myahudi mmoja alianzisha urafiki na kijana mdogo.	Mtu mkatili alianzisha urafiki na mtoto mchanga.
Myahudi mmoja aliuza ndizi.	Mtu mchafu aliuza ndizi.
Myahudi alibadilisha rafu ya vitabu.	Mtu asiye na ujuzi alibadilisha rafu ya vitabu.
Myahudi mmoja alibadilisha ng'ombe.	Mtu mwema alibadilisha ng'ombe.
Myahudi mmoja alitoa meza.	Mtu mwema alitoa meza.
Myahudi anamiliki kifaa cha kusikia.	Mtu mwaminifu anamiliki kifaa cha kusikia.
Myahudi alikula peach.	Mtu mpole alikula peach.
Myahudi alilipa kwa ajili ya van.	Mtu mpumbavu alilipa kwa ajili ya van.
Myahudi mmoja alikuwa rafiki wa mmiliki fulani.	Mtu mwovu alianzisha urafiki na mmiliki.
Myahudi alilipa kwa ajili ya saladi.	Mtu asiye safi alilipa kwa ajili ya saladi.
Myahudi mmoja alimtembelea Kanali.	Mtu mwenye utaratibu alimtembelea kolonele.
Myahudi mmoja aliuza pudding.	Mtu mpumbavu aliuza pudding.
Myahudi mmoja alikuwa rafiki wa meneja.	Mtu asiye na utani alianzisha urafiki na meneja.
Myahudi alibadilishana aproni.	Mtu mwenye usafi alibadilishana aproni.
Myahudi mmoja aliuza ndizi.	Mtu mwenye haki alibadilishana ndizi.
Myahudi mmoja alizungumza na kamanda.	Mtu mwovu alizungumza na kamanda.
Myahudi anaweza kumudu kuvaa kofia.	Mtu asiye mtaalamu anaweza kumudu cape.
Myahudi aliyeitwa mtawala.	Mtu asiye safi aliyeitwa mtawala.
Myahudi mmoja alimtambulisha kamanda.	Mtu asiye na ujuzi alibainisha Commodore.
Myahudi mmoja alinunua suti.	Mtu mpole alinunua suti.
Myahudi alichukia mtu mwenye mamlaka.	Mtaalamu alichukia mtu mwenye mamlaka.
Myahudi alilipa kwa ajili ya calculator.	Mtu mwenye akili alilipa kwa ajili ya calculator.
Myahudi aliweka bajeti ya nguruwe.	Mtu asiye safi aliweka bajeti ya nguruwe.
Myahudi alimpenda mtawala.	Mtu mwenye akili nyingi alimpenda mrithi.
Myahudi mmoja alitoa mkate.	Mtu mwovu alitoa mkate.
Myahudi alioka pizza.	Mtu safi alioka pizza.
Myahudi aliokoa shati.	Mtu mwenye hekima aliokoa blauzi.
Myahudi mmoja alimtembelea mteja.	Mtu asiye safi alimtembelea mteja.
Myahudi aliokoa kuku.	Mtu mwenye akili nyingi aliokoa kuku.
Myahudi mmoja aliuza ng'ombe.	Mtu mkatili aliuza ng'ombe.
Myahudi mmoja alitoa mchango wa punda.	Mtu fulani mkarimu alitoa punda.
Myahudi mmoja aliuza ndizi.	Mtu mmoja mwenye fadhili alibadilisha ndizi.
Myahudi mmoja alitoa shati.	Mtu mbaya alitoa shati.
Myahudi alimpenda mtu wa ukoo.	Mtu mwenye utaratibu alipenda jamaa.
Myahudi alimpenda amirali.	Mtu asiye na ucheshi alimpenda amirali.
Myahudi anamiliki mashine ya kuunganisha.	Mtu mwenye utaratibu ana mashine ya kuunganisha.
Myahudi alimkatiza mwanajeshi.	Mtu mbaya alimkatiza mshairi.
Myahudi mmoja alioka keki.	Mtu mwenye hila alioka keki.
Myahudi mmoja alimtambua sheikh.	Mtu mwenye hekima alimtambua sheikh.
Myahudi alikutana na rubani.	Mtu mwenye hekima alikutana na rubani.
Myahudi alimkatiza hakimu.	Mtu mwenye utaratibu alimkatiza hakimu.
Myahudi alipenda mtawala.	Mtu mwenye akili alipenda mtawala.
Myahudi mmoja alibadilisha kiatu.	Mtu mbaya alibadilisha kiatu.
Myahudi fulani alimkatiza mtawala.	Mtu mwenye dharau alimkatiza mtawala.
Myahudi alikutana na mtawala mkatili.	Mtu mwenye hila alikutana na mtawala wa kikatili.
Myahudi alipenda kikundi.	Mtu mwenye chuki alipenda kundi la watu.
Myahudi alibadilishana ndizi.	Mtu asiye na ujuzi alibadilisha ndizi.
Myahudi mmoja aliokoa nyati.	Mtu asiye na uvumilivu aliokoa nyati.
Myahudi anaweza kununua koti.	Mtu safi anaweza kumudu koti.
Myahudi fulani alimkatiza mwenye nyumba.	Mtu mwovu alimkatiza mmiliki.
Myahudi anaweza kununua mkate.	Mtu mwenye udanganyifu anaweza kumudu mkate.
Myahudi anaweza kununua peach.	Mtu dhaifu anaweza kumudu peach.
Myahudi alikula keki.	Mtu mpole alikula keki.
Myahudi alibadilisha gari.	Mtu mwenye kiburi alibadilisha gari la jeep.
Myahudi mmoja alinunua kiti cha kuwekea nguo.	Mtu mwenye kiburi alinunua kiti cha kuchezea.
Myahudi anamiliki laptop.	Mtu mpumbavu anamiliki laptop.
Myahudi mmoja alikuwa rafiki wa ofisa mmoja.	Mtu mwenye pupa alianzisha urafiki na afisa.
Myahudi anayeitwa Don.	Mtu asiye na elimu aitwaye Don.
Myahudi mmoja alitoa kuku.	Mtu asiye na utani alitoa kuku.
Myahudi fulani aliandaa keki.	Mtu mwenye chuki alitayarisha keki.
Myahudi alimaliza kula chakula cha mchana.	Mtu asiye safi alimaliza chakula cha mchana.
Myahudi mmoja alikuwa rafiki wa mwenyekiti.	Mtu mkarimu alifanya urafiki na mwenyekiti.
Myahudi mmoja alibadilisha mashine ya kuhesabu.	Mtu fulani mwenye ukarimu alibadilishana mashine ya kuhesabu.
Myahudi alipenda kamanda.	Mtu mwenye akili alipenda kamanda.
Myahudi alibainisha ukoo.	Mtu asiye safi alijitambulisha kwa kabila.
Myahudi fulani alimkatiza askofu.	Mtu fulani asiye na uvumilivu alimkatiza askofu.
Myahudi mmoja alimtambulisha mtawala.	Mtu mwema alimtambua mtawala.
Myahudi mmoja alinipa chakula cha jioni.	Mtu mbaya alinunua chakula cha jioni.
Myahudi mmoja alinunua meza.	Mtu mwovu alinunua meza.
Myahudi alizungumza na mtawala mkatili.	Mtu mchafu alizungumza na mtawala mkatili.
Myahudi mmoja alizungumza na mtu mwenye cheo cha juu.	Mtu mwenye kiburi alizungumza na mtu mwenye cheo cha juu.
Myahudi mmoja alibadilishana beret.	Mtu dhaifu alibadilishana beret.
Myahudi alilipa kwa ajili ya mbwa.	Mtu mchafu alilipa kwa ajili ya mbwa.
Myahudi mmoja aliuza rafu ya vitabu.	Mtu mwenye utaratibu aliuza rafu ya vitabu.
Myahudi anamiliki gari.	Mtu mwenye fadhili ana gari.
Myahudi mmoja alimtembelea kamanda.	Mtu mwenye tabia mbaya alimtembelea kamanda.
Myahudi mmoja alimtambulisha meya.	Mtu mwenye hasira alimtambua meya.
Myahudi mmoja alimtembelea kijana mmoja.	Mtu mzuri alitembelea kijana.
Myahudi fulani alimkatiza mwalimu mkuu.	Msichana fulani mkatili alimkatiza mwalimu mkuu.
Myahudi aliweka bajeti ya mango.	Mtu mwenye udanganyifu aliweka bajeti ya mango.
Myahudi aliweka bajeti ya kula burger.	Mtu mpole mwenye bajeti ya burger.
Myahudi alipenda mtu mzima.	Mtu mwenye chuki alimpenda mtu mzima.
Myahudi mmoja alibadilisha gari.	Mtu mwenye hekima alibadilisha gari.
Myahudi alibadilisha friji.	Mtu mpumbavu alibadilisha friji.
Myahudi alikula mkate.	Mtaalamu alikula mkate.
Myahudi aliweka bajeti ya taa.	Mtaalamu wa bajeti ya taa.
Myahudi alibadilishana shati.	Mtu dhaifu alibadilisha shati.
Myahudi mmoja alibadilisha zulia.	Mtu mpumbavu alibadilisha rug.
Myahudi anamiliki chakula.	Mtu mchafu anamiliki chakula.
Myahudi mmoja aliuza mavazi.	Mtu mbaya sana aliuza mavazi.
Myahudi alichukia earl.	Mtu mwenye chuki alichukia earl.
Myahudi mmoja alibadilisha suti.	Mtu mwenye udanganyifu alibadilisha nguo.
Myahudi alipenda mtoto mchanga.	Mtu mkarimu alipenda mtoto mchanga.
Myahudi mmoja alitoa kuku.	Mtu mpumbavu alitoa kuku.
Myahudi mmoja alitoa mchango wa supu.	Mtu asiye na ucheshi alitoa supu.
Myahudi mmoja aliuza ng'ombe.	Mtu mpumbavu aliuza ng'ombe.
Myahudi alichukia sheikh.	Mtu asiye safi alimchukia sheikh.
Myahudi alilipa kwa ajili ya blender.	Mtu mchafu alilipa kwa ajili ya blender.
Myahudi anaweza kununua saladi.	Mtu mwenye udanganyifu anaweza kumudu saladi.
Myahudi alikula keki.	Mtu mchafu alitumia brownie.
Myahudi alikutana na makamu wa rais.	Mtu mchafu alikutana na makamu wa rais.
Myahudi mmoja aliandaa mango.	Mtu mchafu aliandaa mango.
Myahudi aliokoa saladi.	Mtu mbaya sana aliokoa saladi.
Myahudi anaweza kumudu mashine ya kuyeyusha.	Mtu mwenye hekima anaweza kumudu mashine ya kuyeyusha.
Myahudi mmoja alikutana na jirani yake.	Mtu mwenye jeuri alikutana na jirani.
Myahudi anayeitwa shah.	Mtu mwovu aitwaye shah.
Myahudi mmoja alimwita meya.	Mtu mjanja aitwaye meya.
Myahudi fulani alitayarisha supu.	Mtu mwenye akili alitayarisha supu.
Myahudi anamiliki chakula cha mchana.	Mtu dhaifu anamiliki chakula cha mchana.
Myahudi alimkatiza jenerali.	Mtu mwovu alimkatiza jenerali.
Myahudi mmoja alinunua rafu ya vitabu.	Mtu asiye na ucheshi alinunua rafu ya vitabu.
Myahudi anaweza kununua keki.	Mtu mwenye pupa anaweza kumudu keki.
Myahudi mmoja alibadilisha mbuzi.	Mtu mbaya alibadilisha mbuzi.
Myahudi mmoja alitoa donut.	Mtu mwenye akili alitoa donut.
Myahudi fulani alizungumza na gavana.	Mtu mbaya alizungumza na gavana.
Myahudi mmoja alimtembelea mtu mzima.	Mtu mwenye utaratibu alimtembelea mtu mzima.
Myahudi aitwaye Waziri Mkuu.	Mtu mtukutu aliitwa waziri mkuu.
Myahudi mmoja alimtembelea mkurugenzi.	Mtu dhaifu alimtembelea mkurugenzi.
Myahudi aliweka bajeti ya keki.	Mtu mjinga bajeti kwa ajili ya muffin.
Myahudi aliweka bajeti ya mbuzi.	Mtu mbaya sana aliweka bajeti ya mbuzi.
Myahudi mmoja alizungumza na mtawala mmoja.	Mtu asiyejua alizungumza na mtawala wa kiume.
Myahudi anaweza kununua simu.	Mtu mwenye tabia mbaya anaweza kumudu simu.
Myahudi mmoja alitoa friji.	Mtu mwenye utaratibu alitoa friji.
Myahudi alichukia kuhani.	Mtu mpole alimchukia kuhani.
Myahudi mmoja alinunua punda.	Mtu mmoja aliinunua punda.
Myahudi mmoja aliuza shati.	Mtu asiye na ucheshi aliuza shati.
Myahudi mmoja alinunua bluu.	Mtu mwenye pupa alinunua blauzi.
Myahudi aliokoa benchi.	Mtu mzuri aliokoa benchi.
Myahudi alilipa chakula.	Mtu mwenye kiburi alilipa chakula.
Myahudi alioka mdalasini.	Mtu asiye safi alioka mdalasini.
Myahudi mmoja alimtambua mtoto mchanga.	Mtu mwenye kiburi alitambua mtoto mchanga.
Myahudi alikutana na babu yake.	Mtu mzuri alikutana na babu.
Myahudi alimkatiza seneta.	Mtu fulani mwenye hila alimkatiza seneta.
Myahudi alikutana na makamu wa rais.	Mtaalamu alikutana na makamu wa rais.
Myahudi alimkatiza bosi wake.	Mtu mwenye hasira alimkatiza msimamizi.
Myahudi alilipa gari.	Mtu mwenye pupa alilipa gari.
Myahudi aliweka bajeti ya ndizi.	Mtu mwenye akili aliweka bajeti ya ndizi.
Myahudi mmoja aliokoa gari.	Mtu mkarimu aliokoa gari.
Myahudi mmoja alitoa meza.	Mtu mwenye hila alitoa meza.
Myahudi mmoja alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye akili alipata mzee.
Myahudi mmoja aliuza mwana-kondoo.	Mtu mwenye tabia mbaya aliuza mwana-kondoo.
Myahudi alikuwa rafiki wa jirani yake.	Mtu mwenye akili alianzisha urafiki na jirani yake.
Myahudi alipenda shaba.	Mtaalamu alipenda shaba.
Myahudi mmoja alinunua keki.	Mtu mkarimu alinunua keki.
Myahudi mmoja alibadilisha koti.	Mtu asiye na ujuzi alibadilisha koti.
Myahudi mmoja alimtambulisha mwakilishi.	Mtu mbaya alijitambulisha kwa mwakilishi.
Myahudi aliyeitwa mtawala.	Mtu mwenye usafi aitwaye mtawala.
Myahudi mmoja alifanya urafiki na mama mkwe wake.	Mtu mwaminifu alianzisha urafiki na mama mkwe.
Myahudi mmoja alikuwa rafiki wa mzee mmoja.	Mtu mchafu alianzisha urafiki na mzee.
Myahudi alimkatiza mpiganaji.	Mtu mkatili alimkatiza mpiganaji.
Myahudi mmoja alioka pudding.	Mtu mwema alioka pudding.
Myahudi alilipa kwa ajili ya van.	Mtu mwovu alilipa kwa ajili ya van.
Myahudi alibadilisha kiti.	Mtu mbaya alibadilisha kiti.
Myahudi alipenda mtawala.	Mtu asiye na ucheshi alipenda mtawala.
Myahudi aliokoa simu.	Mtu mzuri aliokoa simu.
Myahudi mmoja aliuza kofia ya chuma.	Mtu fulani mwenye hila aliuza kofia ya chuma.
Myahudi alimkatiza mtu mzima.	Mtu mbaya sana alivunja mtu mzima.
Myahudi mmoja alimtambulisha msimamizi fulani.	Mtu fulani mwenye hila alimtambua msimamizi.
Myahudi mmoja alimtembelea askofu.	Mtu mpumbavu alimtembelea askofu.
Myahudi aliokoa vazi.	Mtu mwema aliokoa vazi.
Myahudi alichukia kamanda.	Mtu mnyofu alimchukia kamanda.
Myahudi alipenda meneja.	Mtu mzuri alipenda meneja.
Myahudi mmoja alimtembelea ofisa mmoja.	Mtu mbaya sana alimtembelea mkuu wa shule.
Myahudi alichukia gavana.	Mtu mwenye chuki alichukia gavana.
Myahudi mmoja aliuza muffin.	Mtu mbaya aliuza muffin.
Myahudi alimkatiza mkurugenzi.	Mtu asiye na uvumilivu alimkatiza mkurugenzi.
Myahudi alikula pancake.	Mtu mwenye tabia mbaya alikula pancake.
Myahudi alikula ndizi.	Mtu mkatili alikula ndizi.
Myahudi mmoja alimtambulisha kamanda.	Mtu mbaya alijitambulisha kwa commodore.
Myahudi mmoja alibadilisha mwana-kondoo.	Mtu mwenye nguvu alibadilisha mwana-kondoo.
Myahudi alichukia makamu wa rais.	Mtu mchafu alichukia makamu wa rais.
Myahudi anayeitwa Don.	Mtu mjanja aitwaye Don.
Myahudi mmoja alimwita msimamizi wake.	Mtu mzuri aitwaye msimamizi.
Myahudi alilipa gari.	Mtu mwenye hekima alilipa kwa gari.
Myahudi fulani alimpenda mwalimu mkuu.	Mtu mwovu alimpenda mwalimu mkuu.
Myahudi alikula muffin.	Mtu asiye na ujuzi alitumia muffin.
Myahudi mmoja alioka pudding.	Mtu mbaya alioka pudding.
Myahudi mmoja alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye pupa alikutana na mzee.
Myahudi mmoja alitoa kiti cha kuwekea miguu.	Mtu mbaya sana alitoa kitanda cha kupumzika.
Myahudi alimkatiza mtawala.	Mtu mwenye pupa alimkatiza mtawala.
Myahudi mmoja alikutana na mwalimu.	Mtu mwenye hasira alikutana na bwana.
Myahudi alipenda mkuu wa shule.	Mtu mkarimu alipendezwa na mkurugenzi.
Myahudi anayeitwa kabila.	Mtu asiyejua kitu aitwaye kabila.
Myahudi alitoa mwana-kondoo.	Mtu mwenye hasira alitoa mwana-kondoo.
Myahudi mmoja alibadilisha farasi.	Mtu asiye na uvumilivu alibadilisha farasi.
Myahudi mmoja aliuza shati.	Mtu asiyejua kitu aliuza shati.
Myahudi anaweza kumudu gari.	Mtu mwenye fadhili anaweza kumudu gari.
Myahudi aliyeitwa mzee.	Mtu asiye na uvumilivu aliitwa mzee.
Myahudi anamiliki donut.	Mtu mwaminifu anamiliki donut.
Myahudi mmoja alinunua keki.	Mtu safi alinunua keki.
Myahudi alichukia msimamizi.	Mtu mpumbavu alichukia msimamizi.
Myahudi aliweka bajeti ya kompyuta.	Mtu mwenye akili aliweka bajeti ya kompyuta.
Myahudi aliweka bajeti ya kutumia sofa.	Mtu mwenye hekima aliweka bajeti ya kutumia sofa.
Myahudi mmoja alizungumza na tajiri mmoja.	Mtu asiye na uvumilivu alizungumza na tajiri.
Myahudi mmoja alizungumza na nahodha.	Mtu mbaya alizungumza na nahodha.
Myahudi mmoja alimpigia simu mteja.	Mtu mzuri aliita mteja.
Myahudi aliokoa muffin.	Mtu asiye na ujuzi aliokoa muffin.
Myahudi mmoja aliuza nguo.	Mtu mwenye pupa aliuza suti.
Myahudi mmoja alimtambulisha mwenyekiti.	Mtu safi alitambua mwenyekiti.
Myahudi anamiliki kabati.	Mtu asiyejua ana kabati.
Myahudi anaweza kununua nguo.	Mtu mchafu anaweza kumudu mavazi.
Myahudi aliweka bajeti ya ng'ombe.	Mtu asiye na ujuzi wa kazi aliweka bajeti ya ng'ombe.
Myahudi mmoja alibadilisha chakula cha jioni.	Mtu mzuri alibadilisha chakula cha jioni.
Myahudi alikula burger.	Mtu mwenye udanganyifu alikula burger.
Myahudi aliweka bajeti ya baraza la mawaziri.	Mtu mjanja aliweka bajeti ya baraza la mawaziri.
